Boat,Date,HullTotal,Anode,AnodeType,Total
Que Sera Sera,2026-03-18,98.78,0.00,,98.78
Gerda,2026-03-18,112.25,0.00,,112.25
Moon Dance,2026-03-18,235.73,0.00,,235.73
Solo,2026-03-18,209.91,0.00,,209.91
Mojo,2026-03-18,203.73,0.00,,203.73
Martha,2026-03-19,202.05,0.00,,202.05
Salty Lady,2026-03-19,134.70,0.00,,134.70
Elise,2026-03-19,224.50,0.00,,224.50
Mazu,2026-03-19,170.62,0.00,,170.62
Pegasus,2026-03-19,314.86,0.00,,314.86
Boondoggle,2026-03-19,231.52,0.00,,231.52
Glitch,2026-03-19,99.00,0.00,,99.00
Twilight Zone,2026-03-23,99.00,0.00,,99.00
Genesis,2026-03-23,180.72,0.00,,180.72
Dakini,2026-03-23,160.52,0.00,,160.52
Kakelekele,2026-03-23,134.70,0.00,⚠️ Unknown (no notes),134.70
Olive,2026-03-23,160.52,0.00,,160.52
Blow Fish,2026-03-23,154.34,0.00,,154.34
Second Wind,2026-03-23,154.34,0.00,,154.34
Kodiak,2026-03-23,142.00,0.00,,142.00
Mor Wind,2026-03-23,185.21,0.00,,185.21
Maiden California,2026-03-23,99.00,0.00,,99.00
Tanagra,2026-03-24,166.13,0.00,,166.13
Pazzo Express,2026-03-24,166.13,0.00,,166.13
Merope,2026-03-24,170.62,0.00,,170.62
Impulse,2026-03-25,202.05,0.00,,202.05
Smogen 2,2026-03-25,242.46,0.00,,242.46
JGPC,2026-03-25,152.66,0.00,,152.66
Yakamoz,2026-03-25,216.08,0.00,,216.08
Aleph Null,2026-03-25,112.25,0.00,,112.25
Puntster,2026-03-25,154.34,0.00,,154.34
La Donna Jean,2026-03-26,152.66,0.00,⚠️ Unresolved,152.66
Dark Star,2026-03-26,325.05,0.00,,325.05
Southern Cross,2026-03-26,188.58,0.00,,188.58
Sunday Morning,2026-03-26,188.58,0.00,,188.58
Not Applicable,2026-03-26,135.82,0.00,,135.82
Yachty By Nature,2026-03-27,566.75,0.00,,566.75
Voyager,2026-03-27,454.61,0.00,,454.61
Raindancer II,2026-03-30,345.51,0.00,,345.51
Diva,2026-03-30,125.72,0.00,,125.72
Brigadoon,2026-03-30,179.04,0.00,,179.04
Sarah,2026-03-30,116.74,0.00,,116.74
Halo,2026-03-31,188.58,26.58,Beneteau 30mm Propeller,215.16
Bennu,2026-03-31,157.15,36.87,Camp C-3 Collar,194.02
Tranquility,2026-03-31,130.21,0.00,,130.21
Junebug,2026-03-31,0.00,0.00,,0.00
Bee Mused,2026-03-31,121.23,0.00,,121.23
Tandem,2026-03-31,161.64,0.00,,161.64